order_id,order_date,region,category,product,channel,customer_age_group,quantity,unit_price,amount,is_returned
ORD20250001,2025-10-09,华东,图书文娱,《三体》全集,抖音,18-25,1,23.25,23.25,0
ORD20250002,2026-07-13,华南,手机数码,小米 16,拼多多,18-25,1,1849.39,1849.39,0
ORD20250003,2025-06-09,西南,家用电器,美的空调,天猫,18-25,4,2919.93,11679.72,0
ORD20250004,2026-07-04,华中,服饰鞋包,优衣库卫衣,抖音,36-45,5,248.39,1241.95,0
ORD20250005,2025-04-14,华南,图书文娱,switch 游戏卡带,天猫,36-45,1,25.96,25.96,0
ORD20250006,2025-06-25,华东,服饰鞋包,耐克跑鞋,京东,26-35,1,506.85,506.85,0
ORD20250007,2025-11-20,华东,手机数码,小米 16,天猫,46+,2,10004.19,20008.38,0
ORD20250008,2025-05-23,华北,图书文娱,switch 游戏卡带,抖音,46+,4,38.57,154.28,0
ORD20250009,2025-04-23,华东,美妆个护,完美日记口红,京东,18-25,3,133.08,399.24,0
ORD20250010,2025-12-15,华南,食品生鲜,阳澄湖大闸蟹,天猫,36-45,4,110.53,442.12,0
ORD20250011,2025-11-02,华北,家用电器,海尔冰箱,天猫,26-35,5,7327.23,36636.15,0
ORD20250012,2026-05-16,华中,食品生鲜,阳澄湖大闸蟹,天猫,26-35,1,123.8,123.8,0
ORD20250013,2026-06-30,华东,手机数码,OPPO Find X9,线下门店,26-35,1,8997.37,8997.37,0
ORD20250014,2026-01-18,华北,食品生鲜,三只松鼠坚果,天猫,18-25,4,193.23,772.92,0
ORD20250015,2025-08-14,西南,食品生鲜,三只松鼠坚果,天猫,18-25,5,53.72,268.6,0
ORD20250016,2026-05-13,华东,手机数码,OPPO Find X9,天猫,46+,5,3465.65,17328.25,0
ORD20250017,2026-03-18,华南,家用电器,美的空调,抖音,18-25,1,1046.37,1046.37,0
ORD20250018,2025-04-22,华东,图书文娱,switch 游戏卡带,天猫,26-35,3,124.08,372.24,0
ORD20250019,2026-07-18,华北,家用电器,美的空调,线下门店,26-35,1,3712.11,3712.11,0
ORD20250020,2025-06-18,华中,美妆个护,SK-II 神仙水,线下门店,46+,4,130.46,521.84,0
ORD20250021,2026-05-14,华南,图书文娱,《三体》全集,抖音,18-25,5,106.04,530.2,0
ORD20250022,2026-06-28,华中,手机数码,iPhone 17 Pro,拼多多,18-25,1,7342.79,7342.79,0
ORD20250023,2026-06-20,华东,图书文娱,儿童绘本套装,抖音,26-35,2,72.49,144.98,0
ORD20250024,2025-03-16,华北,家用电器,美的空调,天猫,26-35,3,3820.63,11461.89,0
ORD20250025,2025-09-08,华东,家用电器,戴森吸尘器,抖音,18-25,3,7082.65,21247.95,0
ORD20250026,2025-05-18,东北,食品生鲜,五常大米,抖音,36-45,3,187.03,561.09,0
ORD20250027,2025-02-22,华南,家用电器,戴森吸尘器,天猫,36-45,3,1867.7,5603.1,0
ORD20250028,2025-04-25,东北,图书文娱,《三体》全集,京东,36-45,3,41.01,123.03,0
ORD20250029,2025-11-12,华中,家用电器,美的空调,拼多多,26-35,4,1281.33,5125.32,0
ORD20250030,2025-01-26,华中,图书文娱,switch 游戏卡带,拼多多,26-35,1,65.98,65.98,0
ORD20250031,2025-08-16,华中,图书文娱,switch 游戏卡带,京东,26-35,1,69.73,69.73,0
ORD20250032,2025-10-13,华北,图书文娱,儿童绘本套装,线下门店,36-45,2,71.8,143.6,0
ORD20250033,2025-09-29,华北,手机数码,小米 16,抖音,36-45,3,2799.96,8399.88,0
ORD20250034,2025-07-14,西南,食品生鲜,三只松鼠坚果,京东,26-35,1,83.19,83.19,0
ORD20250035,2025-11-04,华北,手机数码,小米 16,京东,36-45,3,7779.34,23338.02,0
ORD20250036,2025-06-28,华南,家用电器,美的空调,京东,26-35,4,5419.96,21679.84,0
ORD20250037,2026-04-22,华北,食品生鲜,五常大米,京东,26-35,5,134.39,671.95,0
ORD20250038,2025-12-10,华中,服饰鞋包,优衣库卫衣,抖音,26-35,5,547.89,2739.45,0
ORD20250039,2026-01-29,华东,家用电器,美的空调,拼多多,18-25,1,655.85,655.85,0
ORD20250040,2026-06-15,华北,家用电器,美的空调,京东,46+,2,6491.65,12983.3,0
ORD20250041,2026-06-01,华中,食品生鲜,阳澄湖大闸蟹,拼多多,46+,5,70.29,351.45,0
ORD20250042,2026-06-18,华东,家用电器,小米电视,天猫,36-45,3,6196.77,18590.31,0
ORD20250043,2025-03-24,华东,服饰鞋包,李宁羽绒服,天猫,26-35,3,719.77,2159.31,0
ORD20250044,2026-03-02,东北,美妆个护,SK-II 神仙水,线下门店,18-25,3,285.03,855.09,0
ORD20250045,2025-12-27,华南,食品生鲜,阳澄湖大闸蟹,京东,26-35,4,100.63,402.52,0
ORD20250046,2026-02-03,华北,服饰鞋包,耐克跑鞋,抖音,46+,4,414.23,1656.92,0
ORD20250047,2025-01-28,华南,食品生鲜,阳澄湖大闸蟹,天猫,36-45,5,15.12,75.6,0
ORD20250048,2026-01-24,华中,家用电器,小米电视,天猫,18-25,4,2816.71,11266.84,0
ORD20251273,2025-10-28,华南,食品生鲜,三只松鼠坚果,天猫,36-45,3,96.09,288.27,0
ORD20250050,2025-09-02,华北,家用电器,海尔冰箱,京东,36-45,1,5084.28,5084.28,0
ORD20250051,2025-11-16,华中,家用电器,小米电视,京东,26-35,5,4975.81,24879.05,0
ORD20250052,2025-11-05,华北,图书文娱,《三体》全集,拼多多,18-25,2,33.25,66.5,0
ORD20250053,2025-12-16,华南,美妆个护,SK-II 神仙水,天猫,36-45,3,62.41,187.23,0
ORD20250054,2026-06-19,华东,美妆个护,完美日记口红,拼多多,46+,2,234.68,469.36,0
ORD20250055,2025-03-30,华南,图书文娱,switch 游戏卡带,抖音,46+,5,54.89,274.45,0
ORD20250056,2025-08-06,华东,美妆个护,SK-II 神仙水,拼多多,36-45,3,115.46,346.38,0
ORD20250057,2026-05-18,华东,食品生鲜,阳澄湖大闸蟹,天猫,26-35,2,26.27,,0
ORD20250058,2026-06-28,华中,食品生鲜,五常大米,京东,46+,3,99.92,,0
ORD20252033,2025-02-27,东北,家用电器,小米电视,京东,36-45,4,5530.68,22122.72,0
ORD20250060,2026-06-22,华中,服饰鞋包,优衣库卫衣,天猫,36-45,5,782.46,3912.3,0
ORD20250061,2026-07-21,华中,手机数码,OPPO Find X9,天猫,18-25,5,2217.73,11088.65,0
ORD20250062,2026-05-05,华东,美妆个护,SK-II 神仙水,天猫,18-25,4,237.02,948.08,0
ORD20250063,2025-09-12,西南,食品生鲜,五常大米,抖音,26-35,3,26.18,78.54,0
ORD20250064,2025-11-01,华中,美妆个护,SK-II 神仙水,抖音,18-25,4,457.0,1828.0,0
